t,pos_x_true,pos_y_true,pos_z_true,vel_x_true,vel_y_true,vel_z_true,yaw_true,acc_x_clean,acc_y_clean,acc_z_clean,gyro_x_clean,gyro_y_clean,gyro_z_clean,acc_x_corrupted,acc_y_corrupted,acc_z_corrupted,gyro_x_corrupted,gyro_y_corrupted,gyro_z_corrupted,acc_x_corrected,acc_y_corrected,acc_z_corrected,gyro_x_corrected,gyro_y_corrected,gyro_z_corrected,yaw_reconstructed,vel_x_reconstructed,vel_y_reconstructed,vel_z_reconstructed,pos_x_reconstructed,pos_y_reconstructed,pos_z_reconstructed
0.0,3.5,2.5,0.0,-0.000988925250694317,0.07853774097787207,0.0,1.583387381467306,7.765564206570085e-05,0.0123358646067344,9.81,0.0,0.0,0.15703606502912307,0.053126379552451336,-0.004272230387261192,9.927507173539741,0.008301115253256981,-0.016355852939560524,0.1714063773410725,0.0031171324093722443,0.025392163838635504,9.809446403792503,-0.001222383694075244,-0.0013525490135575316,0.15844187603238605,1.583387381467306,-0.000988925250694317,0.07853774097787207,0.0,3.5,2.5,0.0
0.08016032064128256,3.499920727434814,2.506295610499228,0.0,-0.0019777721067436916,0.07853151508968281,0.0,1.5959754427922859,0.00031054256896061015,0.01850037574765537,9.81,0.0,0.0,0.2354235778489282,0.03991691235793487,-0.0029177819475808744,9.920807130636264,0.008126189775354464,-0.01699763313336131,0.25123302598042113,-0.009522583747373687,0.026589190326336068,9.802746360889026,-0.0013973091719777612,-0.0019943292073583176,0.2357273444803257,1.5960881330530685,-0.003100337586263104,0.07772075058228274,-0.0005814540369518493,3.4998361016899016,2.5062628653931927,-2.3304771020114198e-05
0.16032064128256512,3.499682922307536,2.5125902228600694,0.0,-0.003955230647350483,0.07851283841219302,0.0,1.6211306404410821,0.0009307243791781976,0.024649274681263683,9.81,0.0,0.0,0.31351365196421177,0.058453850824826334,-0.013038513145209494,9.923955269341642,0.013975440186624517,-0.013697970529649679,0.33394506659100265,0.008214819070344565,0.017644749944893196,9.805894499594404,0.004451941239292292,0.0013053333963533136,0.3158063521028855,1.6149841125705295,-0.0045424540653146005,0.07831613107799981,-0.0009105522658574192,3.499529777375209,2.51251684862607,-8.310462283611693e-05
0.24048096192384769,3.4992866223210104,2.5188828391023854,0.0,-0.005932062105399549,0.07848171390650079,0.0,1.6462381525260272,0.001393696753130104,0.024620091775547633,9.81,0.0,0.0,0.3127723971847332,0.06082721785210485,-0.020897344620372287,9.934439103777338,0.010990869836849776,-0.014244436754114985,0.3316089294180205,0.010485817977327989,0.01069931801662791,9.8163783340301,0.0014673708895175507,0.0007588671718880072,0.3135445828961099,1.6402992510156507,-0.005456417548059438,0.07909508628052808,-0.000399262964847451,3.49912902099792,2.5188259154540673,-0.0001356022272731859
0.32064128256513025,3.4987318903066704,2.5251724615625144,0.0,-0.007907953063888367,0.07843814650724794,0.0,1.6712745117332237,0.001853820817643592,0.02457943503196418,9.81,0.0,0.0,0.31174115716358947,0.0323805453474581,-0.03555744204709162,9.928129932912,0.009364798592366818,-0.019214374642830982,0.33274656744085057,-0.01673389200551703,-0.0022568967922546,9.810069163164762,-0.00015870035496540723,-0.00421107071682799,0.31464600565426476,1.66543308531594,-0.005149557724885937,0.07777679001974619,-0.0003937188233835972,3.4987039318086235,2.5251133654059825,-0.0001673850644768351
0.4008016032064128,3.4980188142145754,2.531458093051443,0.0,-0.009882590254929402,0.07838214312182783,0.0,1.6962166947566628,0.002310179213907088,0.024527500655368267,9.81,0.0,0.0,0.31042632719982166,0.039334587729562054,-0.011398004437065443,9.931502099768684,0.01149615832320917,-0.011631965236308783,0.3304973880457573,-0.010079791536706052,0.01909458909669978,9.813441330021446,0.0019726593758769458,0.0033713386896942095,0.31246842603472463,1.6906552100176846,-0.006572590466666685,0.07679156721705357,-0.00011786070543206933,3.498234106229804,2.5313084899445317,-0.00018788925400852513
0.48096192384769537,3.4971475070994673,2.5377387370129076,0.0,-0.011855660609408009,0.07831371262931051,0.0,1.7210422595808905,0.002761881348186189,0.024464536541482826,9.81,0.0,0.0,0.30883596035708233,0.05409552300682277,0.018179395933127195,9.934800792422022,0.003678422958010936,-0.0152825837260525,0.3306661405260057,0.004044474746352217,0.045234330295561155,9.816740022674784,-0.005845075989321289,-0.0002792798000495079,0.3126318064936322,1.715702779238905,-0.010207401673760438,0.07658878206206172,0.00042242167330809697,3.4975615614546367,2.5374559989336745,-0.00017568240158864426
0.561122244488978,3.4961181071028467,2.544013397681393,0.0,-0.013826851306629263,0.0782328658790135,0.0,1.745729473972227,0.0032080691980962113,0.024390839152589296,9.81,0.0,0.0,0.3069796470358984,0.05010980465862232,-0.0017481349158260141,9.924351585371024,0.009870599231077278,-0.018332793285647162,0.32526542469869413,0.00023066849208473945,0.027622894111030423,9.806290815623786,0.000347100283745053,-0.00332948935964417,0.30740301561010475,1.740763445090098,-0.012392882625041419,0.07623246412366923,0.00012509226439310858,3.4966557384366483,2.543581098981199,-0.00015373795518779432
0.6412825651302605,3.49493077743107,2.550281080240004,0.0,-0.015795849823909382,0.07813961568879536,0.0,1.7702574334543812,0.003647922570374458,0.024306749859244955,9.81,0.0,0.0,0.3048683748163994,0.05355286944673906,-0.011775107998434838,9.9356624816363,0.01599254253341429,-0.011433647656938377,0.32473020426537325,0.0035252269318943323,0.01876131472586295,9.817601711889061,0.0064690435860820655,0.0035696562690646153,0.3068848332409689,1.7654049693875011,-0.013923053596268489,0.07621888266338396,0.0007344479268428705,3.4956009914939106,2.549691373401522,-0.00011928744652102161
0.721442885771543,3.4935857063294744,2.5565407909781936,0.0,-0.017762343986117292,0.07803397684302259,0.0,1.7946061673295657,0.004080663738714505,0.024212650834480372,9.81,0.0,0.0,0.30251437229938766,0.045631837737753,-0.0016208000872061723,9.931888426034584,0.010397039519208017,-0.013122973285211538,0.31866842224911196,-0.004054154658282878,0.02773542933806405,9.813827656287346,0.0008735405718757923,0.0018803306407914541,0.30101602037281694,1.7900049560200437,-0.016022461278744952,0.07541820863354783,0.0010412740821411153,3.4944007704568363,2.555769012331259,-4.8116223716052246e-05
0.8016032064128256,3.492083107052534,2.562791537449306,0.0,-0.019726022015182955,0.07791596609021505,0.0,1.8187567316186117,0.004505561408999854,0.02410896059315645,9.81,0.0,0.0,0.2999309409310068,0.06338965238580814,-0.021982802148651108,9.915751869130887,0.010203739507508006,-0.01879362597584374,0.31512448672426,0.01293772952677325,0.009740018736892755,9.797691099383648,0.0006802405601757811,-0.0037903220498407483,0.29758490154400435,1.8141344967312916,-0.01703010330696739,0.07623662747234755,5.4588661992646626e-05,3.4930760183692326,2.561847362475784,-4.193869241753167e-06
0.8817635270541082,3.4904232178300463,2.5690323286279275,0.0,-0.02168657257951705,0.07778560214040624,0.0,1.8426912881201079,0.004921933977014619,0.023996129273568225,9.81,0.0,0.0,0.2971322789156252,0.0627982920108444,-0.009457026938879495,9.942523047911862,0.01164438513892659,-0.009668451479226826,0.3191665502043509,0.012371875720876266,0.02080997479119527,9.824462278164624,0.0021208861915943643,0.005334852446776166,0.3014982910559016,1.8379889978570634,-0.01890088753000025,0.07675274146840823,0.0012138895168723061,3.4916358984960074,2.567979200910283,4.6646939530389225e-05
0.9619238476953907,3.488606301829365,2.5752621750670066,0.0,-0.023643684843375264,0.07764290566216821,0.0,1.8663931691201148,0.00532915206253581,0.023874633758932222,9.81,0.0,0.0,0.2941333012824183,0.05609604207939869,-0.005608084186089038,9.923092552562432,0.012686815729943037,-0.013023607894901422,0.31160591434985896,0.005958707385047361,0.02421157081342609,9.805031782815194,0.0031633167826108123,0.0019796960311015705,0.29417833846189195,1.8621571975409033,-0.020897105619320774,0.07665275362436907,0.0008156356343226557,3.4900407885501425,2.574127717747669,0.00012799063296505705
